,Normal 400 Rogue 10,Normal 300 Rogue 10,Normal 200 Rogue 10
0.01,58.666666666666664,55.00000000000001,52.0
0.02,67.55555555555556,59.5,57.99999999999999
0.03,76.22222222222223,49.5,58.8
0.04,84.0,52.0,62.0
0.05,86.66666666666667,41.5,49.2
0.06,74.0,36.0,41.6
0.07,69.77777777777779,36.0,52.0
0.08,64.66666666666666,30.0,41.6
0.09,55.77777777777778,26.0,34.0
0.1,51.33333333333333,17.5,42.8
0.11,52.888888888888886,31.0,30.4
0.12,46.44444444444444,32.5,30.4
0.13,42.888888888888886,20.0,23.200000000000003
0.14,51.77777777777778,14.000000000000002,28.000000000000004
0.15,35.333333333333336,14.499999999999998,20.4
0.16,43.77777777777778,29.5,17.2
0.17,42.22222222222222,20.5,16.0
0.18,46.88888888888889,15.5,13.200000000000001
0.19,48.66666666666667,17.5,17.599999999999998
0.2,52.888888888888886,20.0,6.4
0.21,57.55555555555556,9.0,26.8
0.22,50.0,16.5,21.2
0.23,63.33333333333333,23.5,10.4
0.24,56.44444444444444,11.5,22.8
0.25,54.22222222222223,16.0,39.2
0.26,63.55555555555556,15.0,34.4
0.27,60.66666666666667,17.0,25.6
0.28,49.111111111111114,12.5,13.200000000000001
0.29,62.88888888888889,28.000000000000004,20.0
0.3,48.22222222222222,25.0,32.4
0.31,36.22222222222222,15.0,43.6
0.32,55.77777777777778,14.499999999999998,40.8
0.33,61.55555555555555,27.500000000000004,30.8
0.34,68.44444444444444,18.5,23.599999999999998
0.35,65.33333333333333,29.5,30.4
0.36,74.44444444444444,22.5,33.2
0.37,62.22222222222222,25.0,40.0
0.38,67.11111111111111,17.0,37.2
0.39,66.88888888888889,8.5,24.0
0.4,67.11111111111111,15.0,31.2
0.41,59.77777777777777,28.999999999999996,30.8
0.42,71.11111111111111,26.0,39.2
0.43,64.22222222222223,27.0,35.199999999999996
0.44,68.44444444444444,26.0,34.8
0.45,62.22222222222222,8.5,48.0
0.46,63.77777777777778,17.0,48.8
0.47,61.33333333333333,26.0,37.6
0.48,59.55555555555555,19.0,48.8
